T,V,
-0.0226,0,0
-0.0225,-0.004,0
-0.0224,-0.004,0
-0.0223,0,0
-0.0222,-0.008,0
-0.0221,-0.004,0
-0.022,-0.008,0
-0.0219,0.008,0
-0.0218,0.02,0
-0.0217,-0.012,0
-0.0216,0.012,0
-0.0215,-0.012,0
-0.0214,-0.004,0
-0.0213,-0.008,0
-0.0212,-0.008,0
-0.0211,0.012,0
-0.021,0.008,0
-0.0209,-0.016,0
-0.0208,0.012,0
-0.0207,-0.004,0
-0.0206,0.012,0
-0.0205,-0.008,0
-0.0204,-0.004,0
-0.0203,0.012,0
-0.0202,-0.02,0
-0.0201,-0.008,0
-0.02,-0.008,0
-0.0199,-0.02,0
-0.0198,-0.02,0
-0.0197,-0.012,0
-0.0196,0.012,0
-0.0195,0.008,0
-0.0194,-0.016,0
-0.0193,0.008,0
-0.0192,0.012,0
-0.0191,-0.012,0
-0.019,-0.016,0
-0.0189,0.008,-0.2
-0.0188,-0.016,0
-0.0187,-0.036,0
-0.0186,-0.04,0
-0.0185,0.016,0
-0.0184,0.02,0
-0.0183,0.032,0
-0.0182,-0.012,-0.2
-0.0181,-0.044,0
-0.018,0,0
-0.0179,-0.012,0
-0.0178,0,0
-0.0177,-0.004,0
-0.0176,-0.012,0
-0.0175,0.008,0
-0.0174,0.016,0
-0.0173,-0.012,0
-0.0172,-0.012,0.2
-0.0171,0.016,0
-0.017,0,0
-0.0169,0,0
-0.0168,-0.02,0.2
-0.0167,0.012,0
-0.0166,0.04,0
-0.0165,0.012,0
-0.0164,-0.008,0
-0.0163,0.012,0
-0.0162,0.008,0.2
-0.0161,-0.008,0
-0.016,0,0
-0.0159,-0.02,0
-0.0158,0.004,0
-0.0157,0.012,0
-0.0156,0.024,0
-0.0155,0.012,0
-0.0154,0.008,0
-0.0153,0.008,0
-0.0152,0.008,0
-0.0151,-0.012,0
-0.015,-0.008,0
-0.0149,-0.012,0
-0.0148,0.008,0
-0.0147,0,0
-0.0146,0.004,0
-0.0145,-0.016,0
-0.0144,0,0
-0.0143,0.012,0
-0.0142,-0.004,0
-0.0141,0.012,0
-0.014,-0.02,0
-0.0139,-0.02,0
-0.0138,0,0
-0.0137,-0.004,0.2
-0.0136,-0.008,0
-0.0135,0.008,0
-0.0134,-0.004,0
-0.0133,0.008,0.2
-0.0132,-0.004,0
-0.0131,0,0
-0.013,-0.008,0
-0.0129,-0.02,0
-0.0128,-0.012,0
-0.0127,-0.004,0
-0.0126,0,0
-0.0125,-0.012,0
