Tiempo,CH1(V),CH2(V),N/a1,N/a2,N/a3,N/a4,N/a5
0.004500,2.810000,2.776000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004536,2.752000,2.727000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004572,2.674000,2.654000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004608,2.581000,2.561000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004648,2.468000,2.463000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004684,2.361000,2.356000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004720,2.248000,2.248000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004756,2.146000,2.146000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004796,2.048000,2.048000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004832,1.975000,1.970000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000040,2.307000,2.043000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000076,2.414000,2.283000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000112,2.522000,2.444000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000148,2.625000,2.561000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000188,2.713000,2.654000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000224,2.781000,2.732000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000260,2.825000,2.781000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000296,2.849000,2.805000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000336,2.845000,2.805000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000372,2.810000,2.776000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000408,2.752000,2.727000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000444,2.678000,2.654000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000484,2.586000,2.571000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000520,2.483000,2.463000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000556,2.366000,2.361000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000592,2.258000,2.253000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000632,2.151000,2.151000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000668,2.058000,2.053000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
